t,x,y,z,vx,vy,vz,roll,pitch,yaw,p,q,r,mass,speed,airspeed,mach,q_dyn,rho,cd_eff,thrust,wind_x,wind_y,roll_ref,pitch_ref,yaw_ref,alpha_pitch_deg,beta_yaw_deg,gimbal_pitch_deg,gimbal_yaw_deg
16.35999999999974,-824.3926052688334,-99.13098552689036,1090.7216560585969,1500.0,-1500.0,-1164.203182584738,0.5786307093579621,-0.8619874822484155,2.025188766059422,0.31999999999999507,-8.0,-1.759999999999995,19.093333333334535,2204.7013125643157,2209.9764509023867,6.576660495903319,2687369.843165399,1.1004799720300498,14.037446161345217,850.0,0.0,7.742695528747498,0.0,0.2625225181585771,0.08536975625185761,89.99999999994584,89.9999999988825,6.0,-2.4000000000000004
16.37999999999974,-794.3926052688334,-129.13098552689036,1067.437592406902,1500.0,-1500.0,-1500.0,0.6986307093579622,-0.9766913375641142,1.905188766059422,0.4799999999999951,-8.0,-1.519999999999995,19.080000000001203,2419.7869844968654,2424.595953540466,7.214343598984466,3238503.8457040903,1.101781968989955,14.03744616145899,850.0,0.0,7.745498280252994,0.0,0.2633243412615569,0.10056807924521038,89.99999999994384,-89.99999999962556,6.0,2.4000000000000004
16.39999999999974,-764.3926052688334,-159.13098552689036,1037.437592406902,1500.0,-1500.0,-1500.0,0.8186307093579623,-1.0796547504737424,1.785188766059422,0.6399999999999951,-8.0,-1.279999999999995,19.06666666666787,2598.076211353316,2602.5589081940534,7.741785180407438,3739915.7227565697,1.1043091598437,14.037446161478403,850.0,0.0,7.7509312284383896,0.0,0.2680568934527434,0.11625083548040704,89.99999999995087,-89.99999999974497,6.0,2.4000000000000004
16.41999999999974,-734.3926052688334,-189.13098552689036,1007.437592406902,1444.8804215992286,-1500.0,-1500.0,0.9386307093579624,-1.1702768242136652,1.6651887660594218,0.7999999999999952,-8.0,-1.039999999999995,19.05333333333454,2598.076211353316,2602.5629635384926,7.7391144499353555,3750976.9069606084,1.1075718157377679,14.037446161458165,850.0,0.0,7.757931228438389,0.0,0.27526672751870385,0.13242717933328985,89.99999999996,-89.99999999960401,6.0,2.4000000000000004
16.43999999999974,-705.4949968368488,-219.13098552689036,977.437592406902,1327.6021452258408,-1500.0,-1500.0,1.0586307093579626,-1.248039349927955,1.5451887660594217,0.6399999999999951,-8.0,-0.7999999999999949,19.040000000001207,2566.6475084671765,2571.193209496918,7.6431840400306275,3671906.878825882,1.1108418409871337,14.037446161110708,850.0,0.0,7.76493122843839,0.0,0.28268419622043506,0.14910501303624013,89.99999999996399,-89.99999999733686,6.0,2.4000000000000004
16.459999999999738,-678.942953932332,-249.13098552689036,947.437592406902,1216.413241803142,-1500.0,-1500.0,1.1786307093579627,-1.3125029668401944,1.4251887660594216,0.4799999999999951,-8.0,-1.039999999999995,19.026666666667875,2502.5042369610997,2507.1704474583676,7.450289510126302,3501623.1224459326,1.1141192471166153,14.037446161454044,850.0,0.0,7.7719312284383895,0.0,0.29046487943526395,0.16617293412665424,89.99999999996511,89.99999999957205,6.0,-2.4000000000000004
16.479999999999738,-654.6146890962691,-279.13098552689036,917.437592406902,1083.7916584868053,-1500.0,-1500.0,1.2986307093579628,-1.354432512417159,1.3051887660594215,0.31999999999999507,-8.0,-1.279999999999995,19.013333333334543,2445.3345731891227,2450.1139729184847,7.278223117101809,3353920.9161082045,1.1174040456610568,14.03744616148808,850.0,0.0,7.778931228438389,0.0,0.2987830008750814,0.18344532799951807,89.99999999996535,89.99999999979353,6.0,-2.4000000000000004
16.499999999999737,-632.938855926533,-309.13098552689036,887.437592406902,941.0727115274269,-1500.0,-1500.0,1.4186307093579629,-1.372785697836752,1.1851887660594214,0.15999999999999506,-8.0,-1.519999999999995,19.00000000000121,2382.1428082727493,2387.053156805686,7.088446414472277,3192876.372063962,1.1206962481653326,14.037446161497831,850.0,0.0,7.78593122843839,0.0,0.30763361082159085,0.2008489034166283,89.9999999999644,89.99999999985796,6.0,-2.4000000000000004
16.519999999999737,-614.1174016959845,-339.13098552689036,857.437592406902,790.8766568165247,-1500.0,-1500.0,1.538630709357963,-1.366989618612887,1.0651887660594213,-4.9404924595819466e-15,-8.0,-1.759999999999995,18.98666666666788,2320.6933981854613,2325.738027346165,6.903983747925224,3039879.0629533273,1.1239958661843463,14.037446161501808,850.0,0.0,7.792931228438389,0.0,0.317076193609959,0.21823208406256756,89.99999999996263,89.99999999988566,6.0,-2.4000000000000004
16.539999999999736,-598.2998685596541,-369.13098552689036,827.437592406902,628.8414745006088,-1500.0,-1500.0,1.658630709357963,-1.3369534378619412,0.9451887660594211,-0.16000000000000494,-8.0,-1.999999999999995,18.973333333334548,2263.953596321551,2269.129022094109,6.733614611943627,2902211.2004038068,1.1273029112830317,14.037446161503484,850.0,0.0,7.79993122843839,0.0,0.3271328360786562,0.23545459991087192,89.99999999996024,89.99999999989896,6.0,-2.4000000000000004
16.559999999999736,-585.7230390696419,-399.13098552689036,797.437592406902,445.63241396395176,-1500.0,-1500.0,1.7786307093579632,-1.2830721982607898,0.825188766059421,-0.32000000000000495,-8.0,-2.239999999999995,18.960000000001216,2212.5644849477494,2217.864590526802,6.579218297087789,2780710.147608398,1.1306173950363607,14.037446161503986,850.0,0.0,7.80693122843839,0.0,0.33780928711800445,0.2523751958329168,89.99999999995741,89.99999999990507,6.0,-2.4000000000000004
16.579999999999735,-576.8103907903629,-429.13098552689036,767.437592406902,228.74326796004416,-1500.0,-1500.0,1.8986307093579633,-1.2062216718344825,0.7051887660594209,-0.480000000000005,-8.0,-2.479999999999995,18.946666666667884,2167.6227181812196,2173.0372982491344,6.444018168949464,2677282.406537655,1.133939329029339,14.037446161503825,850.0,0.0,7.813931228438389,0.0,0.3491109237618475,0.26883352897847823,89.99999999995416,89.99999999990727,6.0,-2.4000000000000004
