t,x,y,z,vx,vy,vz,roll,pitch,yaw,p,q,r,mass,phase,speed,airspeed,mach,q_dyn,rho,cd_eff,alpha_deg,beta_deg,roll_ref_deg,pitch_ref_deg,yaw_ref_deg,roll_error_deg,pitch_error_deg,yaw_error_deg,gimbal_pitch_deg,gimbal_yaw_deg
10.179999999999872,677.1464928208331,52.1109592438979,67.06601993080778,87.9160167249144,9.87724717483233,-32.03365586918446,-0.014318477547597741,-0.3229703190813087,-0.22615502736711424,-7.0455923931948715e-06,-0.10579989217400015,-0.18743624954388605,18.0,target_3d,94.05029321270803,94.05029321270803,0.27659220333960355,5382.769981792392,1.2170698663003814,0.25343780666405896,1.4077323067270222,6.031564487198792,-2.88,-25.462024894140136,24.0,-2.059620033950816,-7.078655570938157,36.74291689719899,0.0,0.0
10.199999999999871,678.9048131553315,52.30850418739455,66.4253468134241,87.89050769644236,9.872035458286215,-32.22258843081976,-0.014318618459445709,-0.32508631692478884,-0.2299037523579921,-6.798996659433051e-06,-0.10558677346525452,-0.1874145873282027,18.0,target_3d,94.09006917243444,94.09006917243444,0.2767071895936586,5387.653842205064,1.2171443977948353,0.25336115096770734,1.3999047203259853,6.025813256439044,-2.88,-25.57630923765907,24.0,-2.0596116674698193,-7.071473046306551,36.957728583801256,0.0,0.0
10.219999999999871,680.6626233092603,52.50594489656027,65.7808950448077,87.86500131918125,9.866824822050395,-32.41145507726289,-0.0143187544393788,-0.32719805239409405,-0.2336520441045562,-6.561031776352894e-06,-0.1053614338297848,-0.18739357585800928,18.0,target_3d,94.1301951151173,94.1301951151173,0.2768231916367767,5392.582261415825,1.2172193751577796,0.25328471972456496,1.3921714101676133,6.0200451560195445,-2.88,-25.691581498870033,24.0,-2.059603593815647,-7.065507561627321,37.17251470433378,0.0,0.0
10.23999999999987,682.419923335644,52.703281393001284,65.13266594326245,87.83949747153979,9.861615243787774,-32.60025591555579,-0.014318885660014491,-0.32930528107068957,-0.23739991562171658,-6.331395664180543e-06,-0.10512482927474455,-0.18737321722095648,18.0,target_3d,94.1706701107844,94.1706701107844,0.27694020670155645,5397.55519651352,1.2172947982973736,0.2532085453859357,1.384546898969279,6.014260318481061,-2.88,-25.807885600127204,24.0,-2.0595958027393824,-7.060818133045245,37.38727600179565,0.0,0.0
10.25999999999987,684.1767132850747,52.90051369787704,64.48066082495134,87.81399602940496,9.856406700931077,-32.78899107061344,-0.014319012287927979,-0.33140777765618434,-0.24114737996613567,-6.109796815934224e-06,-0.10487791714812915,-0.18735351324900973,18.0,target_3d,94.21149323213639,94.21149323213639,0.2770582320282813,5402.572605235613,1.2173706671223257,0.25313265717733724,1.3770446374451732,6.008458875944587,-2.88,-25.925267942954466,24.0,-2.0595882843507725,-7.057465166234637,37.60201322188623,0.0,0.0
10.27999999999987,685.9329932056628,53.09764183189566,63.824881003539076,87.78849686645516,9.85119917071819,-32.97766068382539,-0.01431913448386446,-0.3335053359991469,-0.2448944502311159,-5.895953927376527e-06,-0.10462165250710624,-0.18733446553097155,18.0,target_3d,94.25266355459286,94.25266355459286,0.27717726486505495,5407.634445970343,1.217446981541937,0.2530570811789075,1.3696769975337841,6.002640960125774,-2.88,-26.043777582824326,24.0,-2.059581029105761,-7.055510625314989,37.81672711269718,0.0,0.0
10.29999999999987,687.6887631429919,53.29466581531002,63.165327789862566,87.76299985446427,9.84599263022645,-33.16626491164851,-0.014319252402942961,-0.33559776904928906,-0.24864113954173517,-5.689595539918349e-06,-0.10435698463815143,-0.1873160754244346,18.0,target_3d,94.2941801563081,94.2941801563081,0.2772973024678477,5412.74067775545,1.217523741466146,0.25298184041587723,1.3624552699481327,5.996806702350728,-2.88,-26.16346641900851,24.0,-2.059574027794327,-7.055018221164947,38.03141842441951,0.0,0.0
10.319999999999869,689.4440231400812,53.49158566791455,62.5020024916296,87.73750486359593,9.840787056405777,-33.354803924196304,-0.014319366194853966,-0.33768490874205215,-0.2523874610502239,-5.490459696021206e-06,-0.1040848537357222,-0.18729834406718873,18.0,target_3d,94.33604211815766,94.33604211815766,0.2774183421004566,5417.891260273542,1.2176009468055617,0.25290695495753757,1.355389665886504,5.990956233573069,-2.88,-26.28438940103279,24.0,-2.0595672715288047,-7.0560536205024125,38.2460879090648,0.0,0.0
10.339999999999868,691.1987732373531,53.68840140904266,61.83490641314567,87.71201176268741,9.835582426110584,-33.54327790383008,-0.014319476004047704,-0.33976660581676654,-0.2561334279315677,-5.298293606660463e-06,-0.10380618774538214,-0.18728127238810496,18.0,target_3d,94.37824852369653,94.37824852369653,0.27754038103438294,5423.086153844262,1.2176785974715083,0.252832442023226,1.348489322733527,5.985089684392073,-2.88,-26.406604753448303,24.0,-2.0595607517325614,-7.058684677268364,38.46073632020029,0.0,0.0
10.359999999999868,692.9530134726068,53.88511305756487,61.16404085506907,87.68652041952224,9.830378716130406,-33.73168704375703,-0.014319581969919781,-0.34184272957167394,-0.2598790533793296,-5.112853330427347e-06,-0.1035218993764755,-0.18726486111751742,18.0,target_3d,94.4207984590906,94.4207984590906,0.2776634165486306,5428.3253194133,1.2177566933760418,0.25275831609395016,1.341762313573037,5.979207185071762,-2.88,-26.530174220835338,24.0,-2.0595544601292084,-7.062981688049521,38.67536441269704,0.0,0.0
