t,x,z,vx,vz,theta,q,mass,gamma,gamma_ref,alpha,alpha_air,alpha_cmd,alpha_limit,gimbal_cmd,gimbal,speed,airspeed,mach,q_dyn,rho,cd_eff,thrust,wind_x
12.359999999999825,17.84752405827462,1518.3828277722528,4.822171728733132,124.37643633912792,0.3264800328887738,-1.2061677556326391,21.760000000000908,1.5396414964061786,1.3786006695652866,-1.1508669811268069,-1.1508669811268069,-0.05235987755982988,0.041386426196790525,0.10471975511965977,-0.02251916039812705,124.89578287280672,124.89578287280672,0.37346587215139765,8239.437081618631,1.056408746273925,3.9313585378787113,850.0,0.0
12.379999999999825,17.943967492849282,1520.8703564990353,5.771891972471419,123.8293691065722,0.302356677776121,0.6952260690366656,21.746666666667576,1.5320449534606722,1.3779723510345687,-1.2055649205718983,-1.2055649205718983,-0.05235987755982988,0.041508170951410656,0.10471975511965977,-0.01623597509094746,124.4698809214604,124.4698809214604,0.37220318407459557,8181.308243138718,1.056146594963512,4.292211048876217,850.0,0.0
12.399999999999824,18.05940533229871,1523.3469438811667,6.722397450647049,123.2571237303047,0.31626119915685436,2.5269152090358684,21.733333333334244,1.524218383604559,1.3773440325038506,-1.221861705828438,-1.221861705828438,-0.05235987755982988,0.041651423131474165,0.10471975511965977,-0.009952789783767874,123.96381484237075,123.96381484237075,0.3707006605919831,8112.910365441327,1.0558854564906053,4.402924234462278,850.0,0.0
12.419999999999824,18.19385328131165,1525.8120863557729,7.65931735634748,122.7232794561615,0.3667995033375717,4.233102717643726,21.720000000000912,1.5163106816454601,1.3767157139731327,-1.2000494824886059,-1.2000494824886059,-0.05235987755982988,0.04179878188802181,0.10471975511965977,-0.003669604476588287,123.44030613115032,123.44030613115032,0.36914584107797144,8042.551741904028,1.055625515703938,4.2549542777335265,850.0,0.0
12.439999999999824,18.3470396284386,1528.266551944896,8.568261332640958,122.28547087317895,0.45146155769044627,5.766325101278867,21.70666666666758,1.5084658888286269,1.3760873954424149,-1.1416663854910551,-1.1416663854910551,-0.05235987755982988,0.04193314464992876,0.10471975511965977,0.0026135808305912996,122.9620610710489,122.9620610710489,0.3677262467437845,7978.398248729115,1.0553668247868848,3.8720996102992777,850.0,0.0
12.459999999999823,18.518404855091422,1530.7122613623596,9.432203587770175,121.99011736398943,0.5667880597160236,7.087981047062331,21.693333333334248,1.5008429584782312,1.3754590769116968,-1.049381400787785,-1.049381400787785,-0.05235987755982988,0.04203944480589165,0.10471975511965977,0.008896766137770885,122.58528251360164,122.58528251360164,0.36660997631625697,7927.643662910316,1.0551093024842826,3.305900048204812,850.0,0.0
12.479999999999823,18.707048926846827,1533.1520637096394,10.229825811972452,121.86825663750767,0.7085476806572703,8.168051361398224,21.680000000000916,1.4936304483282294,1.374830758380979,-0.9268423886122058,-0.9268423886122058,-0.05235987755982988,0.04210600055059653,0.10471975511965977,0.015179951444950473,122.3542201928526,122.3542201928526,0.3659294038620806,7895.865635627482,1.0548527466976443,2.6278169161420033,850.0,0.0
12.499999999999822,18.911645443086275,1535.5894288423895,10.935340138373359,121.9325466856091,0.8719087078852348,8.984369219382621,21.666666666667584,1.4870509773909815,1.374202439850261,-0.7785032967337112,-0.7785032967337112,-0.05235987755982988,0.04212551077006075,0.10471975511965977,0.02146313675213006,122.29685732678796,122.29685732678796,0.3657682719594238,7886.55019202187,1.0545968581196332,1.9194972096801066,850.0,0.0
12.519999999999822,19.130352245853743,1538.0280797761015,11.520030976993436,122.17571230851117,1.0515960922728873,9.521819863261292,21.653333333334253,1.4813520973617902,1.373574121319543,-0.6094433894765554,-0.6094433894765554,-0.05235987755982988,0.04209572134290283,0.10471975511965977,0.027746322059309648,122.42192452816677,122.42192452816677,0.3661527523632621,7900.773595774047,1.0543412725789054,1.2625006897384676,850.0,0.0
12.539999999999822,19.36075286539361,1540.4715940222718,11.96404291678456,122.56623746696559,1.2420324895381132,9.747592161158321,21.64000000000092,1.4767836034154382,1.372945802788825,-0.42518751114255093,-0.42518751114255093,-0.05235987755982988,0.042019718937930814,-0.10471975511965977,0.02146313675213006,122.71762624742615,122.71762624742615,0.3670476272096259,7937.06207108855,1.0540855996351157,0.7287472782163315,850.0,0.0
12.559999999999821,19.6000337237293,1542.9229187716112,12.244432651053549,123.06382712107485,1.4369843327612797,9.660523038909657,21.62666666666759,1.4734917179335831,1.3723174842581072,-0.23145922839546995,-0.23145922839546995,-0.05235987755982988,0.04190677449622158,-0.10471975511965977,0.015179951444950473,123.14877542924762,123.14877542924762,0.36834770831365127,7990.98906966689,1.0538294643883461,0.3726000471419806,850.0,0.0
12.57999999999982,19.84492237675037,1545.3841953140327,12.345840628349588,123.61676202800481,1.6301947935394727,9.267011828389274,21.613333333334257,1.4716261127785089,1.371689165727389,-0.03464178001722917,-0.03464178001722917,-0.05235987755982988,0.04176851710432968,-0.10471975511965977,0.008896766137770885,123.67146670364988,123.67146670364988,0.3699217151664119,8057.002111682655,1.0535725582712274,0.22600852821350415,850.0,0.0
12.59999999999982,20.091839189317362,1547.8565305545928,12.263171672960839,124.16906436770974,1.8155350301072581,8.581667357953387,21.600000000000925,1.4712545097353242,1.3710608471966712,0.15894028380414849,0.15894028380414849,-0.05235987755982988,0.041619445981322785,-0.10471975511965977,0.0026135808305912988,124.23173360743615,124.23173360743615,0.3716082538308634,8128.178329979079,1.0533146573850025,0.2934407289794721,850.0,0.0
12.61999999999982,20.33710262277658,1550.339911841947,12.002533084531388,124.6684732300489,1.9871683772663258,7.627960476505564,21.586666666667593,1.4723536738972065,1.3704325286659533,0.34318135621005164,0.34318135621005164,-0.05235987755982988,0.04147496025109568,-0.10471975511965977,-0.003669604476588288,124.77316187960035,124.77316187960035,0.3732385853736693,8197.165184494736,1.053055646356736,0.552530567434338,850.0,0.0
12.63999999999982,20.577153284467208,1552.833281306548,11.580246588605506,125.0738212328786,2.139727586796437,6.438489449608647,21.57333333333426,1.4748165344770219,1.3698042101352352,0.5123518427893039,0.5123518427893039,-0.05235987755982988,0.04134916611980721,-0.10471975511965977,-0.009952789783767874,125.24491613617172,125.24491613617172,0.37466063532510036,8257.227457914269,1.052795527159025,0.957828605588277,850.0,0.0
12.659999999999819,20.80875821623932,1555.3347577312056,11.020343527700456,125.36046767738873,2.26849737578861,5.0545193101733314,21.56000000000093,1.4784722461693405,1.3691758916045174,0.6612553406270965,0.6612553406270965,-0.05235987755982988,0.041252852294046745,-0.10471975511965977,-0.01623597509094746,125.6087690762352,125.6087690762352,0.37576002406584097,8303.213922287878,1.0525344112153963,1.4471806596421075,850.0,0.0
12.679999999999819,21.029165086793327,1557.8419670847534,10.351353853034643,125.52290046962361,2.3695877619920767,3.524629839892823,21.546666666667598,1.4831124970391252,1.3685475730737995,0.7853848787494848,0.7853848787494848,-0.05235987755982988,0.041192020010986166,-0.10471975511965977,-0.02251916039812705,125.84393043672051,125.84393043672051,0.37647451937644744,8332.259197933847,1.052272496067446,1.9500052797735385,850.0,0.0
