rank,score,kp,ki,kd,guidance_gain,guidance_altitude_gain,gamma_final_deg,peak_altitude,downrange,impact_error,final_speed,flight_time,landed,mean_alpha_deg,max_alpha_deg,mean_gimbal_deg,max_gimbal_deg,saturation_ratio,mean_gamma_error_deg
1014,6264.3696,2.9,0.78,1.45,0.32,0.00011,73.0,3425.503634,455.729121,344.270879,214.330700,59.440000,1.000000,12.755263,112.423124,0.263728,4.210884,0.000000,1.608673
1015,6264.4655,4.8,0.27,0.75,0.51,9e-05,74.0,3377.681017,1056.986997,256.986997,213.618550,58.860000,1.000000,9.830065,116.232256,0.402550,5.669769,0.000000,0.892809
1016,6265.3644,2.9,0.78,1.45,0.32,0.0001,73.0,3425.503634,455.729121,344.270879,214.330700,59.440000,1.000000,12.755263,112.423124,0.263728,4.210884,0.000000,1.621108
1017,6266.4045,2.9,0.62,1.45,0.26,0.00011,75.0,3436.580784,475.981991,324.018009,214.536853,59.480000,1.000000,12.756057,118.506970,0.257834,4.765425,0.000000,1.144665
1018,6266.6230,2.9,0.78,1.45,0.32,9e-05,73.0,3425.503634,455.729121,344.270879,214.330700,59.440000,1.000000,12.755263,112.423124,0.263728,4.210884,0.000000,1.636840
1019,6267.4159,2.9,0.62,1.45,0.26,0.0001,75.0,3436.580784,475.981991,324.018009,214.536853,59.480000,1.000000,12.756057,118.506970,0.257834,4.765425,0.000000,1.157307
1020,6268.7017,2.9,0.62,1.45,0.26,9e-05,75.0,3436.580784,475.981991,324.018009,214.536853,59.480000,1.000000,12.756057,118.506970,0.257834,4.765425,0.000000,1.173379
1021,6270.9611,4.5,0.35,0.9,0.45,0.00011,74.0,3377.004438,1052.149726,252.149726,213.631595,58.840000,1.000000,9.822772,116.870710,0.401040,5.687921,0.000000,0.890925
1022,6271.9855,4.5,0.35,0.9,0.45,0.0001,74.0,3377.004438,1052.149726,252.149726,213.631595,58.840000,1.000000,9.822772,116.870710,0.401040,5.687921,0.000000,0.903731
1023,6272.9215,5.1,0.43,0.9,0.51,0.00011,74.0,3374.998579,1058.165686,258.165686,213.548881,58.820000,1.000000,9.821752,115.493541,0.432149,5.690385,0.000000,0.888639
1024,6273.2830,4.5,0.35,0.9,0.45,9e-05,74.0,3377.004438,1052.149726,252.149726,213.631595,58.840000,1.000000,9.822772,116.870710,0.401040,5.687921,0.000000,0.919950
1025,6273.9438,5.1,0.43,0.9,0.51,0.0001,74.0,3374.998579,1058.165686,258.165686,213.548881,58.820000,1.000000,9.821752,115.493541,0.432149,5.690385,0.000000,0.901417
1026,6275.2375,5.1,0.43,0.9,0.51,9e-05,74.0,3374.998579,1058.165686,258.165686,213.548881,58.820000,1.000000,9.821752,115.493541,0.432149,5.690385,0.000000,0.917588
1027,6275.2902,5.1,0.35,0.9,0.51,0.00011,74.0,3374.954271,1058.646780,258.646780,213.549917,58.820000,1.000000,9.820450,115.490517,0.432267,5.691217,0.000000,0.888216
1028,6276.2571,2.9,0.7,1.45,0.32,0.00011,73.0,3425.568141,453.440724,346.559276,214.325094,59.440000,1.000000,12.773000,112.425701,0.263556,4.207099,0.000000,1.610615
1029,6276.3125,5.1,0.35,0.9,0.51,0.0001,74.0,3374.954271,1058.646780,258.646780,213.549917,58.820000,1.000000,9.820450,115.490517,0.432267,5.691217,0.000000,0.900994
1030,6277.2519,2.9,0.7,1.45,0.32,0.0001,73.0,3425.568141,453.440724,346.559276,214.325094,59.440000,1.000000,12.773000,112.425701,0.263556,4.207099,0.000000,1.623049
1031,6277.6062,5.1,0.35,0.9,0.51,9e-05,74.0,3374.954271,1058.646780,258.646780,213.549917,58.820000,1.000000,9.820450,115.490517,0.432267,5.691217,0.000000,0.917165
1032,6277.6572,5.1,0.27,0.9,0.51,0.00011,74.0,3374.909979,1059.127512,259.127512,213.550952,58.820000,1.000000,9.819151,115.487489,0.432385,5.692048,0.000000,0.887793
1033,6278.5105,2.9,0.7,1.45,0.32,9e-05,73.0,3425.568141,453.440724,346.559276,214.325094,59.440000,1.000000,12.773000,112.425701,0.263556,4.207099,0.000000,1.638781
1034,6278.6795,5.1,0.27,0.9,0.51,0.0001,74.0,3374.909979,1059.127512,259.127512,213.550952,58.820000,1.000000,9.819151,115.487489,0.432385,5.692048,0.000000,0.900571
