t,x,y,z,vx,vy,vz,crosswind_y,heading_deg,speed_3d
13.899999999999793,32.33714849034767,75.38041897566004,1719.5549349378957,15.71729064835635,7.333158898366237,141.9109639679976,7.542188416521135,25.012173358486653,142.9668847638498
13.919999999999792,32.6514943033148,75.52710048237552,1722.3931542172556,15.718376211015654,7.334075335773888,142.49181990789978,7.541440127377914,25.013400535677025,143.54363361851745
13.939999999999792,32.965861827535115,75.67380017107584,1725.2429906154136,15.576179085494463,7.33498443501632,143.05204772717684,7.540688799963008,25.216232962844927,144.08437705214195
13.959999999999791,33.27738540924501,75.82051789538569,1728.1040315699572,15.300991619599785,7.335886215492946,143.5643082540436,7.539934543340227,25.614858156870422,144.56364057248894
13.97999999999979,33.583405241637,75.96725350933832,1730.975317735038,14.910471600872073,7.336780697631864,144.01213100970185,7.539177610701719,26.199749712021347,144.96773569426088
13.99999999999979,33.88161467365445,76.11400686740366,1733.855560355232,14.427995565217065,7.3376679032672705,144.39248669846887,7.538418342042426,26.956593002580878,145.2969326629302
14.01999999999979,34.17017458495879,76.26077782451772,1736.7434100892015,13.880779852547375,7.338547855703342,144.71584241041637,7.537657093283548,27.864697122436112,145.56512418330772
14.03999999999979,34.44779018200973,76.40756623610702,1739.6377269374098,13.298198500461368,7.339420579464772,145.0037779756332,7.536894165119088,28.894784239883034,145.7971357915054
14.059999999999789,34.71375415201896,76.55437195810282,1742.5378024969225,12.710536062137052,7.340286099790673,145.28469064386692,7.53612974444237,30.006269923255957,146.02424066742404
14.079999999999789,34.9679648732617,76.70119484694227,1745.4434963098,12.148166414436275,7.3411444419726735,145.58838996069707,7.535363868427039,31.144594526883616,146.2786711735472
14.099999999999788,35.21092820155042,76.84803475955553,1748.355264109014,11.640939135559417,7.341995630663266,145.94047702087528,7.534596417107375,32.23982491188653,146.5879913119731
14.119999999999788,35.443746984261615,76.99489155334123,1751.2740736494313,11.217452486114457,7.342839689284935,146.35736685106988,7.53382713558782,33.20838373942162,146.97015808169843
14.139999999999787,35.66809603398391,77.14176508613433,1754.2012209864527,10.90393287547022,7.343676639655015,146.84271154745576,7.533055682484944,33.959824894516856,147.43000804907348
14.159999999999787,35.88617469149331,77.28865521617249,1757.1380752174018,10.722622582925165,7.344506501908268,147.38583609434303,7.532281697212592,34.409361375581526,147.95776793409996
14.179999999999787,36.10062714315181,77.43556180206753,1760.0857919392886,10.679459324665109,7.345329294752061,147.9626699366293,7.531504875497631,34.52018297585825,148.52931161454774
14.199999999999786,36.31421632964511,77.58248470278814,1763.0450453380213,10.78327230487967,7.346145036031023,148.5417096637779,7.530725039970679,34.26479576095546,149.11366241337404
14.219999999999786,36.52988177574271,77.72942377765736,1766.0158795312968,11.034119911104781,7.346953743461484,149.08680073347742,7.529942179317568,33.657247440223095,149.6749935175038
14.239999999999785,36.750564173964804,77.87637888636677,1768.9976155459665,11.423340562824553,7.34775543547041,149.5638111272529,7.529156472762775,32.75005634368353,150.17927892509783
14.259999999999785,36.97903098522129,78.02334988900644,1771.9888917685116,11.934775301375193,7.348550131983605,149.9471824750222,7.528368279378217,31.621682693216112,150.60078878523245
14.279999999999784,37.2177264912488,78.17033664610666,1774.987835418012,12.546889325634139,7.3493378550115125,150.22501953320716,7.527578092871657,30.35963029801639,150.92711384111632
14.299999999999784,37.46866427776148,78.31733901868498,1777.9923358086762,13.235215760679633,7.350118628915549,150.40168884302355,7.526786469565315,29.04541018366975,151.16171204020068
