t,east_m,north_m,up_m,ve_m_s,vn_m_s,vu_m_s,mass_kg,pitch_deg,ground_distance_m,speed_m_s,target_east_m,target_north_m,target_up_m,target_surface_distance_m,phase,desired_pitch_deg,remaining_ground_m,q_dyn,mach,cd_eff,azimuth_deg,line_of_sight_elevation_deg
18.1999999999997,-732.3607674829666,5602.079660564028,61.51838636952034,-76.48675642883715,585.0735341342132,-57.763754273629345,30.505263157893022,2.3464147381521445,5649.747677290856,592.8725963991646,-2594.8902379120104,19849.208844384382,5.552378098607051,20017.142430270833,burn,2.3464147381521445,14368.357804866995,214025.9822184067,1.7434553072644123,0.22053003968680618,352.5519519239,0.015892004537414336
18.2199999999997,-733.8905026115433,5613.781131246712,60.363111284047754,-76.55076128429617,585.5631293103402,-57.86273744137111,30.492631578945655,2.350536202413543,5661.548715622346,593.3736544919504,-2594.8902379120104,19849.208844384382,5.552378098607051,20017.142430270833,burn,2.350536202413543,14356.556766535505,214411.7090316502,1.7449059965844387,0.22051834788913638,352.5519519239,0.015892004537414336
18.2399999999997,-735.4215178372292,5625.492393832918,59.205856535220335,-76.61466710744952,586.0519669542645,-57.961462755089464,30.479999999998288,2.3546723165026195,5673.359629176528,593.8739313622524,-2594.8902379120104,19849.208844384382,5.552378098607051,20017.142430270833,burn,2.3546723165026195,14344.745852981323,214797.29983156666,1.7463543120254643,0.22050691050822344,352.5519519239,0.015892004537414336
18.2599999999997,-736.9538111793782,5637.2134331720035,58.04662728011854,-76.67847378968573,586.5400462351795,-58.05992980105514,30.46736842105092,2.3588231062280105,5685.180402673841,594.3734260789133,-2594.8902379120104,19849.208844384382,5.552378098607051,20017.142430270833,burn,2.3588231062280105,14332.92507948401,215182.75254973935,1.747800250949342,0.2204957222117169,352.5519519239,0.015892004537414336
18.2799999999997,-738.4873806551719,5648.944234096707,56.88542868409744,-76.7421812242216,587.027366336264,-58.15813816680983,30.454736842103554,2.3629885974931986,5697.011020817967,594.8721377252184,-2594.8902379120104,19849.208844384382,5.552378098607051,20017.142430270833,burn,2.3629885974931986,14321.094461339884,215568.0651261026,1.7492438107613484,0.2204847777711857,352.5519519239,0.015892004537414336
18.2999999999997,-740.0222242796564,5660.6847814234325,55.722265920761245,-76.80578930608094,587.5139264545188,-58.256087441153745,30.442105263156186,2.3671688162969757,5708.851468296111,595.3700653987293,-2594.8902379120104,19849.208844384382,5.552378098607051,20017.142430270833,burn,2.3671688162969757,14309.25401386174,215953.23550887543,1.750684988909694,0.22047407206036013,352.5519519239,0.015892004537414336
18.3199999999997,-741.558340065778,5672.435059952523,54.55714417193817,-76.86929793207344,587.9997258006057,-58.35377721413333,30.42947368420882,2.3713637887339134,5720.7017297792845,595.8672082111199,-2594.8902379120104,19849.208844384382,5.552378098607051,20017.142430270833,burn,2.3713637887339134,14297.403752378566,216338.26165449643,1.752123782885037,0.22046360005339513,352.5519519239,0.015892004537414336
18.339999999999698,-743.0957260244195,5684.195054468535,53.3900686276555,-76.93270700077382,588.4847635986878,-58.45120707702893,30.416842105261452,2.375573540994841,5732.5617899225745,596.3635652880146,-2594.8902379120104,19849.208844384382,5.552378098607051,20017.142430270833,burn,2.375573540994841,14285.543692235276,216723.14152755824,1.7535601902200013,0.22045335682315426,352.5519519239,0.015892004537414336
18.359999999999697,-744.634380164435,5695.9647497405085,52.22104448611492,-76.99601641250125,588.9690390862722,-58.548376622342595,30.404210526314085,2.3797980993673145,5744.4316333654215,596.8591357688284,-2594.8902379120104,19849.208844384382,5.552378098607051,20017.142430270833,burn,2.3797980993673145,14273.67384879243,217107.87310074418,1.7549942084887071,0.22044333753951492,352.5519519239,0.015892004537414336
18.379999999999697,-746.174300492685,5707.744130522234,51.05007695366807,-77.05922606929903,589.4525515140543,-58.64528544378589,30.391578947366718,2.3840374902360963,5756.311244731886,597.3539188066078,-2594.8902379120104,19849.208844384382,5.552378098607051,20017.142430270833,burn,2.3840374902360963,14261.794237425966,217492.45435476358,1.7564258353062958,0.2204335374676946,352.5519519239,0.015892004537414336
18.399999999999697,-747.715485014071,5719.533181552515,49.87717124479235,-77.12233587491446,589.9353001457641,-58.741933136267804,30.37894736841935,2.3882917400836345,5768.200608630916,597.8479135678753,-2594.8902379120104,19849.208844384382,5.552378098607051,20017.142430270833,burn,2.3882917400836345,14249.904873526935,217876.88327828934,1.7578550683284715,0.22042395196659803,352.5519519239,0.015892004537414336
18.419999999999696,-749.2579317315692,5731.3318875554305,48.702332582066994,-77.18534573477902,590.4172842580144,-58.83831929588273,30.366315789471983,2.392560875490542,5780.099709656604,598.3411192324749,-2594.8902379120104,19849.208844384382,5.552378098607051,20017.142430270833,burn,2.392560875490542,14238.005772501247,218261.15786789605,1.7592819052510427,0.2204145764871858,352.5519519239,0.015892004537414336
