rank,score,kp,ki,kd,guidance_gain,guidance_altitude_gain,gamma_final_deg,peak_altitude,downrange,impact_error,final_speed,flight_time,landed,mean_alpha_deg,max_alpha_deg,mean_gimbal_deg,max_gimbal_deg,saturation_ratio,mean_gamma_error_deg
936,5201.8477,4.4,0.45,1.5,0.58,8e-05,78.0,3492.117932,763.692341,36.307659,215.899266,59.960000,1.000000,10.491695,125.155866,0.287197,5.092002,0.000000,0.677583
937,5201.8519,3.6,1.0,1.9,0.66,8e-05,76.0,3418.716747,938.280380,138.280380,214.397616,59.180000,1.000000,9.962355,117.501282,0.310923,4.940353,0.000000,0.824506
938,5202.3032,4.0,0.7,1.3,0.58,0.00015,74.0,3394.341861,830.000249,30.000249,213.854930,59.020000,1.000000,10.647147,114.971527,0.357985,5.371328,0.000000,1.018228
939,5202.4203,4.4,0.25,1.7,0.5,6e-05,76.0,3420.218354,952.635426,152.635426,214.479694,59.220000,1.000000,9.859372,117.369221,0.328228,4.880827,0.000000,0.955218
940,5202.5898,4.15,0.3,1.82,0.63,7e-05,75.2,3436.758223,678.854685,121.145315,214.629394,59.460000,1.000000,11.234853,116.248813,0.289404,4.300059,0.000000,1.123075
941,5202.7730,3.6,0.8,1.5,0.5,6e-05,76.0,3443.532923,686.068426,113.931574,214.777913,59.480000,1.000000,11.031760,118.890090,0.308309,4.732596,0.000000,1.141225
942,5205.3815,4.0,1.0,1.7,0.58,0.00015,78.0,3486.831236,706.961398,93.038602,215.756638,59.900000,1.000000,10.786631,125.554617,0.265941,4.788599,0.000000,0.654371
943,5205.6612,4.4,1.1,1.9,0.66,6e-05,78.0,3478.869474,859.769232,59.769232,215.663294,59.780000,1.000000,9.973486,125.828569,0.317511,5.059926,0.000000,0.800035
944,5205.7068,4.15,0.3,1.82,0.63,6e-05,75.2,3436.758223,678.854685,121.145315,214.629394,59.460000,1.000000,11.234853,116.248813,0.289404,4.300059,0.000000,1.162038
945,5205.8955,4.0,0.7,1.3,0.58,0.0001,74.0,3394.341861,830.000249,30.000249,213.854930,59.020000,1.000000,10.647147,114.971527,0.357985,5.371328,0.000000,1.063132
